Criterion,max_depth,min_samples_split,accuracy
gini,1,2,0.8375
gini,1,3,0.8375
gini,1,4,0.8375
gini,1,5,0.8375
gini,1,6,0.8375
gini,1,7,0.8375
gini,1,8,0.8375
gini,1,9,0.8375
gini,1,10,0.8375
gini,1,11,0.8375
gini,1,12,0.8375
gini,1,13,0.8375
gini,1,14,0.8375
gini,1,15,0.8375
gini,1,16,0.8375
gini,1,17,0.8375
gini,1,18,0.8375
gini,1,19,0.8375
gini,1,20,0.8375
gini,2,2,0.8375
gini,2,3,0.8375
gini,2,4,0.8375
gini,2,5,0.8375
gini,2,6,0.8375
gini,2,7,0.8375
gini,2,8,0.8375
gini,2,9,0.8375
gini,2,10,0.8375
gini,2,11,0.8375
gini,2,12,0.8375
gini,2,13,0.8375
gini,2,14,0.8375
gini,2,15,0.8375
gini,2,16,0.8375
gini,2,17,0.8375
gini,2,18,0.8375
gini,2,19,0.8375
gini,2,20,0.8375
gini,3,2,0.835
gini,3,3,0.835
gini,3,4,0.835
gini,3,5,0.835
gini,3,6,0.835
gini,3,7,0.835
gini,3,8,0.835
gini,3,9,0.835
gini,3,10,0.835
gini,3,11,0.835
gini,3,12,0.835
gini,3,13,0.835
gini,3,14,0.835
gini,3,15,0.835
gini,3,16,0.835
gini,3,17,0.835
gini,3,18,0.835
gini,3,19,0.835
gini,3,20,0.835
gini,4,2,0.8325
gini,4,3,0.8325
gini,4,4,0.8325
gini,4,5,0.8325
gini,4,6,0.8325
gini,4,7,0.8325
gini,4,8,0.8325
gini,4,9,0.8325
gini,4,10,0.8325
gini,4,11,0.8325
gini,4,12,0.8325
gini,4,13,0.8325
gini,4,14,0.83
gini,4,15,0.83
gini,4,16,0.83
gini,4,17,0.83
gini,4,18,0.83
gini,4,19,0.83
gini,4,20,0.83
gini,5,2,0.8275
gini,5,3,0.8275
gini,5,4,0.8275
gini,5,5,0.8275
gini,5,6,0.8275
gini,5,7,0.8275
gini,5,8,0.8275
gini,5,9,0.8275
gini,5,10,0.8275
gini,5,11,0.8275
gini,5,12,0.8275
gini,5,13,0.8275
gini,5,14,0.825
gini,5,15,0.825
gini,5,16,0.825
gini,5,17,0.825
gini,5,18,0.825
gini,5,19,0.825
gini,5,20,0.825
gini,6,2,0.8275
gini,6,3,0.8275
gini,6,4,0.8275
gini,6,5,0.8275
gini,6,6,0.8275
gini,6,7,0.8275
gini,6,8,0.8275
gini,6,9,0.8275
gini,6,10,0.8275
gini,6,11,0.8275
gini,6,12,0.8275
gini,6,13,0.8275
gini,6,14,0.825
gini,6,15,0.825
gini,6,16,0.825
gini,6,17,0.825
gini,6,18,0.825
gini,6,19,0.825
gini,6,20,0.825
gini,7,2,0.8175
gini,7,3,0.8175
gini,7,4,0.8175
gini,7,5,0.8175
gini,7,6,0.8175
gini,7,7,0.8175
gini,7,8,0.8175
gini,7,9,0.8175
gini,7,10,0.8175
gini,7,11,0.8175
gini,7,12,0.8175
gini,7,13,0.815
gini,7,14,0.8125
gini,7,15,0.8125
gini,7,16,0.8125
gini,7,17,0.8125
gini,7,18,0.8125
gini,7,19,0.8125
gini,7,20,0.8125
gini,8,2,0.805
gini,8,3,0.805
gini,8,4,0.805
gini,8,5,0.805
gini,8,6,0.805
gini,8,7,0.805
gini,8,8,0.805
gini,8,9,0.805
gini,8,10,0.805
gini,8,11,0.805
gini,8,12,0.805
gini,8,13,0.8025
gini,8,14,0.8
gini,8,15,0.8
gini,8,16,0.8
gini,8,17,0.8
gini,8,18,0.8
gini,8,19,0.8
gini,8,20,0.8
gini,9,2,0.8125
gini,9,3,0.8125
gini,9,4,0.8125
gini,9,5,0.8125
gini,9,6,0.8125
gini,9,7,0.8125
gini,9,8,0.8125
gini,9,9,0.815
gini,9,10,0.815
gini,9,11,0.815
gini,9,12,0.815
gini,9,13,0.8125
gini,9,14,0.8075
gini,9,15,0.8075
gini,9,16,0.8075
gini,9,17,0.8075
gini,9,18,0.805
gini,9,19,0.805
gini,9,20,0.805
gini,10,2,0.7975
gini,10,3,0.7975
gini,10,4,0.7975
gini,10,5,0.7975
gini,10,6,0.7975
gini,10,7,0.8025
gini,10,8,0.8025
gini,10,9,0.8075
gini,10,10,0.8075
gini,10,11,0.8075
gini,10,12,0.8075
gini,10,13,0.8025
gini,10,14,0.7975
gini,10,15,0.7975
gini,10,16,0.8025
gini,10,17,0.8025
gini,10,18,0.8
gini,10,19,0.8
gini,10,20,0.8
gini,11,2,0.7925
gini,11,3,0.7925
gini,11,4,0.795
gini,11,5,0.7925
gini,11,6,0.7925
gini,11,7,0.795
gini,11,8,0.795
gini,11,9,0.8
gini,11,10,0.8
gini,11,11,0.8
gini,11,12,0.8
gini,11,13,0.8
gini,11,14,0.795
gini,11,15,0.795
gini,11,16,0.8
gini,11,17,0.8
gini,11,18,0.7975
gini,11,19,0.7975
gini,11,20,0.7975
gini,12,2,0.7875
gini,12,3,0.7875
gini,12,4,0.7925
gini,12,5,0.79
gini,12,6,0.79
gini,12,7,0.7925
gini,12,8,0.7875
gini,12,9,0.7925
gini,12,10,0.795
gini,12,11,0.795
gini,12,12,0.795
gini,12,13,0.795
gini,12,14,0.79
gini,12,15,0.7875
gini,12,16,0.7925
gini,12,17,0.7925
gini,12,18,0.79
gini,12,19,0.79
gini,12,20,0.79
gini,13,2,0.785
gini,13,3,0.785
gini,13,4,0.7875
gini,13,5,0.785
gini,13,6,0.7875
gini,13,7,0.79
gini,13,8,0.785
gini,13,9,0.7875
gini,13,10,0.79
gini,13,11,0.79
gini,13,12,0.79
gini,13,13,0.79
gini,13,14,0.785
gini,13,15,0.7825
gini,13,16,0.7875
gini,13,17,0.785
gini,13,18,0.7825
gini,13,19,0.7825
gini,13,20,0.7875
gini,14,2,0.7725
gini,14,3,0.7725
gini,14,4,0.7775
gini,14,5,0.775
gini,14,6,0.7775
gini,14,7,0.78
gini,14,8,0.775
gini,14,9,0.7775
gini,14,10,0.78
gini,14,11,0.78
gini,14,12,0.78
gini,14,13,0.78
gini,14,14,0.775
gini,14,15,0.7725
gini,14,16,0.7775
gini,14,17,0.7775
gini,14,18,0.775
gini,14,19,0.775
gini,14,20,0.78
gini,15,2,0.7625
gini,15,3,0.7625
gini,15,4,0.7675
gini,15,5,0.765
gini,15,6,0.77
gini,15,7,0.7725
gini,15,8,0.7675
gini,15,9,0.77
gini,15,10,0.7725
gini,15,11,0.7725
gini,15,12,0.7725
gini,15,13,0.7725
gini,15,14,0.7675
gini,15,15,0.765
gini,15,16,0.77
gini,15,17,0.77
gini,15,18,0.7675
gini,15,19,0.7675
gini,15,20,0.7725
gini,16,2,0.7625
gini,16,3,0.7625
gini,16,4,0.7675
gini,16,5,0.765
gini,16,6,0.77
gini,16,7,0.775
gini,16,8,0.77
gini,16,9,0.7725
gini,16,10,0.775
gini,16,11,0.775
gini,16,12,0.775
gini,16,13,0.775
gini,16,14,0.765
gini,16,15,0.765
gini,16,16,0.77
gini,16,17,0.77
gini,16,18,0.7675
gini,16,19,0.7675
gini,16,20,0.7725
gini,17,2,0.76
gini,17,3,0.76
gini,17,4,0.765
gini,17,5,0.7625
gini,17,6,0.7675
gini,17,7,0.7725
gini,17,8,0.7675
gini,17,9,0.77
gini,17,10,0.7725
gini,17,11,0.7725
gini,17,12,0.7725
gini,17,13,0.7725
gini,17,14,0.7625
gini,17,15,0.7625
gini,17,16,0.7675
gini,17,17,0.7675
gini,17,18,0.765
gini,17,19,0.765
gini,17,20,0.77
gini,18,2,0.75
gini,18,3,0.75
gini,18,4,0.755
gini,18,5,0.7525
gini,18,6,0.7575
gini,18,7,0.7625
gini,18,8,0.7625
gini,18,9,0.765
gini,18,10,0.7675
gini,18,11,0.7675
gini,18,12,0.7675
gini,18,13,0.7675
gini,18,14,0.7575
gini,18,15,0.7575
gini,18,16,0.765
gini,18,17,0.765
gini,18,18,0.7625
gini,18,19,0.7625
gini,18,20,0.7675
gini,19,2,0.745
gini,19,3,0.7475
gini,19,4,0.7525
gini,19,5,0.75
gini,19,6,0.755
gini,19,7,0.76
gini,19,8,0.7625
gini,19,9,0.765
gini,19,10,0.7675
gini,19,11,0.7675
gini,19,12,0.7675
gini,19,13,0.7675
gini,19,14,0.7575
gini,19,15,0.7575
gini,19,16,0.765
gini,19,17,0.765
gini,19,18,0.7625
gini,19,19,0.7625
gini,19,20,0.7675
gini,20,2,0.7375
gini,20,3,0.7425
gini,20,4,0.7475
gini,20,5,0.745
gini,20,6,0.7525
gini,20,7,0.7575
gini,20,8,0.76
gini,20,9,0.7625
gini,20,10,0.765
gini,20,11,0.7675
gini,20,12,0.7675
gini,20,13,0.7675
gini,20,14,0.7575
gini,20,15,0.7575
gini,20,16,0.765
gini,20,17,0.765
gini,20,18,0.7625
gini,20,19,0.7625
gini,20,20,0.7675
entropy,1,2,0.8375
entropy,1,3,0.8375
entropy,1,4,0.8375
entropy,1,5,0.8375
entropy,1,6,0.8375
entropy,1,7,0.8375
entropy,1,8,0.8375
entropy,1,9,0.8375
entropy,1,10,0.8375
entropy,1,11,0.8375
entropy,1,12,0.8375
entropy,1,13,0.8375
entropy,1,14,0.8375
entropy,1,15,0.8375
entropy,1,16,0.8375
entropy,1,17,0.8375
entropy,1,18,0.8375
entropy,1,19,0.8375
entropy,1,20,0.8375
entropy,2,2,0.8375
entropy,2,3,0.8375
entropy,2,4,0.8375
entropy,2,5,0.8375
entropy,2,6,0.8375
entropy,2,7,0.8375
entropy,2,8,0.8375
entropy,2,9,0.8375
entropy,2,10,0.8375
entropy,2,11,0.8375
entropy,2,12,0.8375
entropy,2,13,0.8375
entropy,2,14,0.8375
entropy,2,15,0.8375
entropy,2,16,0.8375
entropy,2,17,0.8375
entropy,2,18,0.8375
entropy,2,19,0.8375
entropy,2,20,0.8375
entropy,3,2,0.835
entropy,3,3,0.835
entropy,3,4,0.835
entropy,3,5,0.835
entropy,3,6,0.835
entropy,3,7,0.835
entropy,3,8,0.835
entropy,3,9,0.835
entropy,3,10,0.835
entropy,3,11,0.835
entropy,3,12,0.835
entropy,3,13,0.835
entropy,3,14,0.835
entropy,3,15,0.835
entropy,3,16,0.835
entropy,3,17,0.835
entropy,3,18,0.835
entropy,3,19,0.835
entropy,3,20,0.835
entropy,4,2,0.8375
entropy,4,3,0.8375
entropy,4,4,0.8375
entropy,4,5,0.8375
entropy,4,6,0.8375
entropy,4,7,0.8375
entropy,4,8,0.8375
entropy,4,9,0.8375
entropy,4,10,0.8375
entropy,4,11,0.8375
entropy,4,12,0.8375
entropy,4,13,0.8375
entropy,4,14,0.835
entropy,4,15,0.835
entropy,4,16,0.835
entropy,4,17,0.835
entropy,4,18,0.835
entropy,4,19,0.835
entropy,4,20,0.835
entropy,5,2,0.8375
entropy,5,3,0.8375
entropy,5,4,0.8375
entropy,5,5,0.8375
entropy,5,6,0.8375
entropy,5,7,0.8375
entropy,5,8,0.8375
entropy,5,9,0.8375
entropy,5,10,0.8375
entropy,5,11,0.8375
entropy,5,12,0.8375
entropy,5,13,0.8375
entropy,5,14,0.835
entropy,5,15,0.835
entropy,5,16,0.835
entropy,5,17,0.835
entropy,5,18,0.835
entropy,5,19,0.835
entropy,5,20,0.835
entropy,6,2,0.8325
entropy,6,3,0.8325
entropy,6,4,0.8325
entropy,6,5,0.8325
entropy,6,6,0.8325
entropy,6,7,0.8325
entropy,6,8,0.8325
entropy,6,9,0.8325
entropy,6,10,0.8325
entropy,6,11,0.8325
entropy,6,12,0.8325
entropy,6,13,0.8325
entropy,6,14,0.83
entropy,6,15,0.83
entropy,6,16,0.83
entropy,6,17,0.83
entropy,6,18,0.83
entropy,6,19,0.83
entropy,6,20,0.83
entropy,7,2,0.8125
entropy,7,3,0.8125
entropy,7,4,0.8125
entropy,7,5,0.8125
entropy,7,6,0.8125
entropy,7,7,0.8125
entropy,7,8,0.8125
entropy,7,9,0.8125
entropy,7,10,0.8125
entropy,7,11,0.8125
entropy,7,12,0.8125
entropy,7,13,0.8125
entropy,7,14,0.81
entropy,7,15,0.81
entropy,7,16,0.81
entropy,7,17,0.81
entropy,7,18,0.81
entropy,7,19,0.81
entropy,7,20,0.81
entropy,8,2,0.8175
entropy,8,3,0.8175
entropy,8,4,0.8175
entropy,8,5,0.8175
entropy,8,6,0.8175
entropy,8,7,0.8175
entropy,8,8,0.8175
entropy,8,9,0.82
entropy,8,10,0.82
entropy,8,11,0.82
entropy,8,12,0.82
entropy,8,13,0.82
entropy,8,14,0.8175
entropy,8,15,0.8175
entropy,8,16,0.8175
entropy,8,17,0.8175
entropy,8,18,0.8175
entropy,8,19,0.8175
entropy,8,20,0.8175
entropy,9,2,0.81
entropy,9,3,0.81
entropy,9,4,0.81
entropy,9,5,0.81
entropy,9,6,0.81
entropy,9,7,0.81
entropy,9,8,0.81
entropy,9,9,0.8125
entropy,9,10,0.8125
entropy,9,11,0.8125
entropy,9,12,0.8125
entropy,9,13,0.815
entropy,9,14,0.8125
entropy,9,15,0.8125
entropy,9,16,0.8125
entropy,9,17,0.8125
entropy,9,18,0.8125
entropy,9,19,0.8125
entropy,9,20,0.8125
entropy,10,2,0.8025
entropy,10,3,0.8025
entropy,10,4,0.8025
entropy,10,5,0.8025
entropy,10,6,0.8025
entropy,10,7,0.8025
entropy,10,8,0.8075
entropy,10,9,0.81
entropy,10,10,0.81
entropy,10,11,0.81
entropy,10,12,0.81
entropy,10,13,0.8125
entropy,10,14,0.8125
entropy,10,15,0.8125
entropy,10,16,0.8125
entropy,10,17,0.8125
entropy,10,18,0.8125
entropy,10,19,0.8125
entropy,10,20,0.8125
entropy,11,2,0.8025
entropy,11,3,0.8025
entropy,11,4,0.8025
entropy,11,5,0.8025
entropy,11,6,0.8
entropy,11,7,0.8
entropy,11,8,0.805
entropy,11,9,0.8075
entropy,11,10,0.8075
entropy,11,11,0.8075
entropy,11,12,0.805
entropy,11,13,0.8075
entropy,11,14,0.8075
entropy,11,15,0.8075
entropy,11,16,0.8075
entropy,11,17,0.8075
entropy,11,18,0.8075
entropy,11,19,0.81
entropy,11,20,0.81
entropy,12,2,0.7875
entropy,12,3,0.7875
entropy,12,4,0.79
entropy,12,5,0.79
entropy,12,6,0.7875
entropy,12,7,0.79
entropy,12,8,0.795
entropy,12,9,0.7975
entropy,12,10,0.7975
entropy,12,11,0.7975
entropy,12,12,0.795
entropy,12,13,0.7975
entropy,12,14,0.7975
entropy,12,15,0.7975
entropy,12,16,0.7975
entropy,12,17,0.7975
entropy,12,18,0.7975
entropy,12,19,0.8
entropy,12,20,0.8
entropy,13,2,0.795
entropy,13,3,0.795
entropy,13,4,0.7975
entropy,13,5,0.7975
entropy,13,6,0.795
entropy,13,7,0.7975
entropy,13,8,0.8025
entropy,13,9,0.805
entropy,13,10,0.805
entropy,13,11,0.805
entropy,13,12,0.8025
entropy,13,13,0.805
entropy,13,14,0.8025
entropy,13,15,0.8025
entropy,13,16,0.8025
entropy,13,17,0.8
entropy,13,18,0.8
entropy,13,19,0.8025
entropy,13,20,0.8025
entropy,14,2,0.785
entropy,14,3,0.785
entropy,14,4,0.7875
entropy,14,5,0.7875
entropy,14,6,0.785
entropy,14,7,0.7875
entropy,14,8,0.795
entropy,14,9,0.7975
entropy,14,10,0.7975
entropy,14,11,0.7975
entropy,14,12,0.795
entropy,14,13,0.7975
entropy,14,14,0.795
entropy,14,15,0.795
entropy,14,16,0.795
entropy,14,17,0.795
entropy,14,18,0.795
entropy,14,19,0.7975
entropy,14,20,0.7975
entropy,15,2,0.775
entropy,15,3,0.775
entropy,15,4,0.7775
entropy,15,5,0.775
entropy,15,6,0.7725
entropy,15,7,0.775
entropy,15,8,0.7825
entropy,15,9,0.785
entropy,15,10,0.785
entropy,15,11,0.785
entropy,15,12,0.785
entropy,15,13,0.7875
entropy,15,14,0.785
entropy,15,15,0.785
entropy,15,16,0.785
entropy,15,17,0.785
entropy,15,18,0.7875
entropy,15,19,0.79
entropy,15,20,0.79
entropy,16,2,0.78
entropy,16,3,0.78
entropy,16,4,0.7825
entropy,16,5,0.78
entropy,16,6,0.7775
entropy,16,7,0.7775
entropy,16,8,0.7825
entropy,16,9,0.785
entropy,16,10,0.785
entropy,16,11,0.7825
entropy,16,12,0.7825
entropy,16,13,0.785
entropy,16,14,0.7825
entropy,16,15,0.7825
entropy,16,16,0.7825
entropy,16,17,0.7775
entropy,16,18,0.78
entropy,16,19,0.7825
entropy,16,20,0.7825
entropy,17,2,0.775
entropy,17,3,0.775
entropy,17,4,0.78
entropy,17,5,0.7775
entropy,17,6,0.775
entropy,17,7,0.775
entropy,17,8,0.78
entropy,17,9,0.7825
entropy,17,10,0.78
entropy,17,11,0.78
entropy,17,12,0.78
entropy,17,13,0.7825
entropy,17,14,0.78
entropy,17,15,0.78
entropy,17,16,0.7825
entropy,17,17,0.7775
entropy,17,18,0.78
entropy,17,19,0.7825
entropy,17,20,0.7825
entropy,18,2,0.765
entropy,18,3,0.765
entropy,18,4,0.77
entropy,18,5,0.7675
entropy,18,6,0.765
entropy,18,7,0.765
entropy,18,8,0.77
entropy,18,9,0.7725
entropy,18,10,0.77
entropy,18,11,0.77
entropy,18,12,0.77
entropy,18,13,0.7725
entropy,18,14,0.77
entropy,18,15,0.77
entropy,18,16,0.7725
entropy,18,17,0.7675
entropy,18,18,0.7725
entropy,18,19,0.775
entropy,18,20,0.775
entropy,19,2,0.7625
entropy,19,3,0.7625
